host	time	method	url	response	bytes
engei.engei-hs.oyama.tochigi.jp	807257654	GET	/	200	7280
198.189.70.111	807257659	GET	/history/apollo/apollo.html	200	3260
www-d4.proxy.aol.com	807257661	GET	/shuttle/countdown/	304	0
198.189.70.111	807257661	GET	/history/apollo/images/footprint-small.gif	200	18149
198.189.70.111	807257662	GET	/images/KSC-logosmall.gif	200	1204
198.189.70.111	807257662	GET	/history/apollo/images/apollo-logo1.gif	200	1173
castles10.castles.com	807257664	GET	/shuttle/missions/sts-71/images/index71.gif	200	73728
engei.engei-hs.oyama.tochigi.jp	807257666	GET	/images/ksclogo-medium.gif	200	5866
gwa.ericsson.com	807257666	GET	/shuttle/missions/missions.html	304	0
gwa.ericsson.com	807257672	GET	/images/launchmedium.gif	200	11853
castles10.castles.com	807257685	GET	/images/WORLD-logosmall.gif	200	669
198.189.70.111	807257691	GET	/history/apollo/apollo-13/apollo-13.html	200	18556
198.189.70.111	807257693	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859
ad11-013.compuserve.com	807257711	GET	/shuttle/technology/sts-newsref/sts-av.html	200	117168
198.189.70.111	807257711	GET	/images/ksclogosmall.gif	200	3635
198.189.70.111	807257711	GET	/history/apollo/images/footprint-logo.gif	200	4209
193.84.66.147	807257720	GET	/shuttle/missions/missions.html	200	8677
www-d4.proxy.aol.com	807257722	GET	/cgi-bin/imagemap/countdown70?61,190	302	96
dd08-050.compuserve.com	807257723	GET	/history/apollo/apollo-13/movies/apo13launch.mpg	200	402466
wedding.eznet.com	807257725	GET	/	200	7280
wedding.eznet.com	807257728	GET	/images/ksclogo-medium.gif	200	5866
wedding.eznet.com	807257737	GET	/images/MOSAIC-logosmall.gif	200	363
wedding.eznet.com	807257737	GET	/images/USA-logosmall.gif	200	234
wedding.eznet.com	807257738	GET	/images/NASA-logosmall.gif	200	786
wedding.eznet.com	807257738	GET	/images/WORLD-logosmall.gif	200	669
engei.engei-hs.oyama.tochigi.jp	807257739	GET	/images/NASA-logosmall.gif	200	786
pc-heh.icl.dk	807257743	GET	/	200	7280
pc-heh.icl.dk	807257743	GET	/images/ksclogo-medium.gif	200	5866
pc-heh.icl.dk	807257744	GET	/images/NASA-logosmall.gif	200	786
193.84.66.147	807257745	GET	/images/launchmedium.gif	200	11853
pc-heh.icl.dk	807257745	GET	/images/MOSAIC-logosmall.gif	200	363
pc-heh.icl.dk	807257745	GET	/images/USA-logosmall.gif	200	234
pc-heh.icl.dk	807257745	GET	/images/WORLD-logosmall.gif	200	669
wedding.eznet.com	807257751	GET	/shuttle/missions/sts-71/movies/movies.html	200	3381
engei.engei-hs.oyama.tochigi.jp	807257752	GET	/images/MOSAIC-logosmall.gif	200	363
wedding.eznet.com	807257753	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054
engei.engei-hs.oyama.tochigi.jp	807257754	GET	/images/USA-logosmall.gif	200	234
engei.engei-hs.oyama.tochigi.jp	807257756	GET	/images/WORLD-logosmall.gif	200	669
pc-heh.icl.dk	807257757	GET	/shuttle/countdown/	200	4324
pc-heh.icl.dk	807257758	GET	/images/KSC-logosmall.gif	200	1204
pc-heh.icl.dk	807257759	GET	/shuttle/countdown/count70.gif	200	46573
193.84.66.147	807257760	GET	/images/KSC-logosmall.gif	200	1204
pc-heh.icl.dk	807257770	GET	/cgi-bin/imagemap/countdown70?71,222	302	110
pc-heh.icl.dk	807257771	GET	/shuttle/missions/sts-70/images/images.html	200	8657
violin-05.synapse.net	807257772	GET	/shuttle/countdown/liftoff.html	200	5220
violin-05.synapse.net	807257777	GET	/images/NASA-logosmall.gif	200	786
pc-heh.icl.dk	807257781	GET	/shuttle/missions/sts-70/images/KSC-95EC-0515.gif	200	39252
pc-heh.icl.dk	807257795	GET	/shuttle/missions/sts-70/images/KSC-95EC-0649.gif	200	30043
engei.engei-hs.oyama.tochigi.jp	807257795	GET	/shuttle/missions/missions.html	200	8677
violin-05.synapse.net	807257796	GET	/shuttle/countdown/video/livevideo2.gif	200	71319
pc-heh.icl.dk	807257808	GET	/shuttle/missions/sts-70/images/KSC-95EC-0768.gif	200	25000
comm17p14.stcloud.msus.edu	807257817	GET	/history/apollo/apollo-11/apollo-11.html	200	44877
pc-heh.icl.dk	807257822	GET	/shuttle/missions/sts-70/images/KSC-95EC-0852.gif	200	23107
violin-05.synapse.net	807257822	GET	/shuttle/resources/orbiters/discovery.html	200	6849
violin-05.synapse.net	807257823	GET	/shuttle/resources/orbiters/discovery-logo.gif	200	4179
violin-05.synapse.net	807257826	GET	/shuttle/resources/orbiters/orbiters-logo.gif	200	1932
violin-05.synapse.net	807257826	GET	/images/ksclogosmall.gif	200	3635
wedding.eznet.com	807257827	GET	/shuttle/missions/sts-71/movies/sts-71-hand-shake.mpg	200	81920
engei.engei-hs.oyama.tochigi.jp	807257828	GET	/images/launchmedium.gif	200	11853
engei.engei-hs.oyama.tochigi.jp	807257843	GET	/images/KSC-logosmall.gif	200	1204
violin-05.synapse.net	807257851	GET	/shuttle/resources/orbiters/enterprise.html	200	9732
pc-heh.icl.dk	807257852	GET	/shuttle/missions/sts-70/images/KSC-95EC-1012.gif	200	32215
violin-05.synapse.net	807257852	GET	/shuttle/resources/orbiters/enterprise-logo.gif	200	25257
violin-05.synapse.net	807257857	GET	/images/landing-logo.gif	200	2582
pc-heh.icl.dk	807257875	GET	/shuttle/missions/sts-70/images/KSC-95EC-1012.jpg	200	83915
patches.jpl.nasa.gov	807257895	GET	/images/launchpalms-small.gif	200	11473
www-c4.proxy.aol.com	807257904	GET	/shuttle/resources/orbiters/discovery.html	200	6849
dialup12.leuven.eunet.be	807257911	GET	/shuttle/technology/sts-newsref/sts_asm.html	200	71654
pc-heh.icl.dk	807257911	GET	/shuttle/missions/sts-70/images/KSC-95EC-1015.gif	200	55442
137.132.246.148	807257922	GET	/images/	200	17688
dd08-050.compuserve.com	807257923	GET	/history/apollo/apollo-13/movies/apo13damage.mpg	200	297851
193.84.66.147	807257927	GET	/elv/elvpage.htm	200	7775
pc-heh.icl.dk	807257931	GET	/shuttle/missions/sts-70/images/KSC-95EC-1018.gif	200	28291
193.84.66.147	807257943	GET	/images/launch.gif	200	49152
violin-05.synapse.net	807257943	GET	/htbin/cdt_clock.pl	200	543
pc-heh.icl.dk	807257944	GET	/shuttle/missions/sts-70/images/KSC-95EC-1056.gif	200	47925
137.132.246.148	807257952	GET	/icons/menu.xbm	200	527
violin-05.synapse.net	807257953	GET	/shuttle/countdown/countdown.html	200	4324
violin-05.synapse.net	807257955	GET	/images/KSC-logosmall.gif	200	1204
137.132.246.148	807257957	GET	/icons/blank.xbm	200	509
pc-heh.icl.dk	807257957	GET	/shuttle/missions/sts-70/images/KSC-95EC-1057.gif	200	44125
violin-05.synapse.net	807257959	GET	/shuttle/countdown/count70.gif	200	46573
206.24.43.11	807257961	GET	/	200	7280
beauty.noc.fujita-hu.ac.jp	807257961	GET	/shuttle/missions/sts-71/movies/crew-arrival-t38.mpg	200	90112
193.84.66.147	807257962	GET	/elv/elvhead3.gif	200	9925
206.24.43.11	807257963	GET	/images/ksclogo-medium.gif	200	5866
pc-heh.icl.dk	807257968	GET	/shuttle/missions/sts-70/images/KSC-95EC-1058.gif	200	42208
206.24.43.11	807257971	GET	/images/NASA-logosmall.gif	200	786
206.24.43.11	807257971	GET	/images/MOSAIC-logosmall.gif	200	363
206.24.43.11	807257971	GET	/images/USA-logosmall.gif	200	234
137.132.246.148	807257975	GET	/icons/image.xbm	200	509
137.132.246.148	807257975	GET	/icons/unknown.xbm	200	515
206.24.43.11	807257979	GET	/images/WORLD-logosmall.gif	200	669
pc-heh.icl.dk	807257982	GET	/shuttle/missions/sts-70/images/KSC-95EC-1059.gif	200	40180
violin-05.synapse.net	807257983	GET	/cgi-bin/imagemap/countdown70?189,292	302	110
violin-05.synapse.net	807257984	GET	/shuttle/missions/sts-70/movies/movies.html	200	2979
violin-05.synapse.net	807257986	GET	/shuttle/missions/sts-70/sts-70-patch-small.gif	200	5978
www-d3.proxy.aol.com	807257991	GET	/images/	200	17688
pc-heh.icl.dk	807257994	GET	/shuttle/missions/sts-70/images/KSC-95EC-1060.gif	200	38221
193.84.66.147	807257997	GET	/elv/endball.gif	200	306
nit1.mains.nitech.ac.jp	807257998	GET	/	304	0
nit1.mains.nitech.ac.jp	807258001	GET	/images/USA-logosmall.gif	304	0
193.84.66.147	807258003	GET	/elv/vidpicp.htm	200	4251
nit1.mains.nitech.ac.jp	807258003	GET	/images/WORLD-logosmall.gif	304	0
nit1.mains.nitech.ac.jp	807258003	GET	/images/MOSAIC-logosmall.gif	304	0
nit1.mains.nitech.ac.jp	807258003	GET	/images/ksclogo-medium.gif	304	0
nit1.mains.nitech.ac.jp	807258003	GET	/images/NASA-logosmall.gif	304	0
www-d3.proxy.aol.com	807258008	GET	/icons/blank.xbm	200	509
www-d3.proxy.aol.com	807258008	GET	/icons/menu.xbm	200	527
www-d3.proxy.aol.com	807258008	GET	/icons/image.xbm	200	509
ip-pdx8-00.teleport.com	807258011	GET	/images/NASA-logosmall.gif	200	786
193.84.66.147	807258012	GET	/elv/TITAN/mars1s.jpg	200	1156
pc-heh.icl.dk	807258015	GET	/cgi-bin/imagemap/countdown70?185,287	302	110
pc-heh.icl.dk	807258015	GET	/shuttle/missions/sts-70/movies/movies.html	200	2979
pc-heh.icl.dk	807258016	GET	/shuttle/missions/sts-70/sts-70-patch-small.gif	200	5978
www-d3.proxy.aol.com	807258017	GET	/icons/unknown.xbm	200	515
193.84.66.147	807258021	GET	/elv/TITAN/mars2s.jpg	200	1549
ip-pdx8-00.teleport.com	807258021	GET	/images/KSC-logosmall.gif	200	1204
193.84.66.147	807258026	GET	/elv/TITAN/mars3s.jpg	200	1744
www-b2.proxy.aol.com	807258026	GET	/shuttle/missions/sts-69/mission-sts-69.html	200	10566
193.84.66.147	807258032	GET	/elv/ATLAS_CENTAUR/atc69s.jpg	200	1659
pc-heh.icl.dk	807258033	GET	/shuttle/missions/sts-70/movies/woodpecker.mpg	200	65536
193.84.66.147	807258036	GET	/elv/ATLAS_CENTAUR/acsuns.jpg	200	2263
ix-wh3-26.ix.netcom.com	807258038	GET	/shuttle/countdown/	200	4324
